NAME,SpMAX4_Bh(s),Experimental INP Formation,SpMAX4_Bh(s) Analysis Group
ABT737,7,Yes,Validation
Apitolisib,5.01,No,Validation
Avagacestat,8,Yes,Validation
Avasimibe,4.79,Yes,Validation
AZD-4547,4.72,No,Validation
Biminetinib,6.46,No,Validation
Bithionol,4.94,No,Validation
BMS-777607,7.41,Yes,Validation
Camptotecin,4.99,No,Training
Celecoxib,7.73,Yes,Validation
Cholecalciferol,4.29,No,Validation
Cholesterol,4.25,No,Validation
Dabrafenib,7.72,Yes,Validation
Dactolisib,4.93,No,Validation
Docetaxel,7.43,Yes,Training
Dutasteride,8,Yes,Validation
Enzalutamide,8,Yes,Training
Erlotinib,4.67,No,Training
Everolimus,7.42,Yes,Validation
Forskolin,6.44,No,Validation
Fulvestrant,8,Yes,Training
Gefitinib,4.76,No,Validation
Glimepiride,7.41,Yes,Validation
Glybenclamide,7,Yes,Validation
Idelalisib,4.83,No,Training
INK128,4.75,No,Validation
Ipatasertib,4.93,No,Validation
Lapatinib,5.12,No,Training
Luminespib,5.19,No,Validation
MGCD-265,4.9,No,Validation
Mubritinib,5.17,No,Validation
Nilotinib,7.43,Yes,Validation
Ospemifene,4.71,No,Validation
Paclitaxel,7.43,Yes,Training
Panobinostat,4.76,No,Validation
Pazopanib,4.98,No,Validation
Pluripotin,7.43,Yes,Validation
Probucol,4.59,No,Validation
Rapamycin,7.42,Yes,Training
Regorafenib,8,Yes,Validation
RO4929097,8,Yes,Validation
Selumetinib,5,No,Training
Silvesterol,4.97,No,Training
Sorafenib,7.43,Yes,Training
Sunitinib,4.82,No,Training
Tacrolimus,7.35,Yes,Validation
TAK-632,8,Yes,Validation
Talazoparib,5.07,No,Validation
Tanespimycin,7.42,Yes,Validation
Taselisib,4.89,No,Training
Tazarotene,4.48,No,Validation
Terbinafine,4.29,No,Validation
Trametinib,7.43,Yes,Training
Valdecoxib,4.83,No,Validation
Valrubicin,7.44,Yes,Validation
Vemurafenib,7.43,Yes,Validation
Venetoclax,7,Yes,Training
Verapamil,4.5,No,Validation
Voxtalisib,4.62,No,Validation
ZSTK474,4.91,No,Validation
