pH,logD
0.0,2.30
0.1,2.30
0.2,2.30
0.3,2.30
0.4,2.30
0.5,2.30
0.6,2.30
0.7,2.30
0.8,2.30
0.9,2.30
1.0,2.30
1.1,2.30
1.2,2.30
1.3,2.30
1.4,2.30
1.5,2.30
1.6,2.30
1.7,2.30
1.8,2.30
1.9,2.30
2.0,2.30
2.1,2.30
2.2,2.30
2.3,2.30
2.4,2.30
2.5,2.30
2.6,2.31
2.7,2.31
2.8,2.31
2.9,2.31
3.0,2.31
3.1,2.32
3.2,2.32
3.3,2.33
3.4,2.33
3.5,2.34
3.6,2.35
3.7,2.36
3.8,2.38
3.9,2.40
4.0,2.42
4.1,2.45
4.2,2.48
4.3,2.51
4.4,2.55
4.5,2.60
4.6,2.65
4.7,2.70
4.8,2.76
4.9,2.83
5.0,2.89
5.1,2.96
5.2,3.03
5.3,3.10
5.4,3.17
5.5,3.24
5.6,3.30
5.7,3.36
5.8,3.42
5.9,3.47
6.0,3.52
6.1,3.56
6.2,3.60
6.3,3.63
6.4,3.66
6.5,3.68
6.6,3.70
6.7,3.72
6.8,3.73
6.9,3.74
7.0,3.75
7.1,3.76
7.2,3.77
7.3,3.77
7.4,3.77
7.5,3.78
7.6,3.78
7.7,3.78
7.8,3.78
7.9,3.79
8.0,3.79
8.1,3.79
8.2,3.79
8.3,3.79
8.4,3.79
8.5,3.79
8.6,3.79
8.7,3.79
8.8,3.79
8.9,3.79
9.0,3.79
9.1,3.79
9.2,3.79
9.3,3.79
9.4,3.79
9.5,3.79
9.6,3.79
9.7,3.79
9.8,3.79
9.9,3.79
10.0,3.79
10.1,3.79
10.2,3.79
10.3,3.79
10.4,3.79
10.5,3.79
10.6,3.79
10.7,3.79
10.8,3.79
10.9,3.79
11.0,3.79
11.1,3.79
11.2,3.79
11.3,3.79
11.4,3.79
11.5,3.78
11.6,3.78
11.7,3.78
11.8,3.78
11.9,3.78
12.0,3.77
12.1,3.77
12.2,3.76
12.3,3.75
12.4,3.75
12.5,3.73
12.6,3.72
12.7,3.70
12.8,3.69
12.9,3.66
13.0,3.64
13.1,3.60
13.2,3.57
13.3,3.53
13.4,3.48
13.5,3.43
13.6,3.38
13.7,3.32
13.8,3.26
13.9,3.19
14.0,3.13
