pH,logD
0.0,3.87
0.1,3.89
0.2,3.91
0.3,3.93
0.4,3.95
0.5,3.96
0.6,3.97
0.7,3.98
0.8,3.98
0.9,3.99
1.0,3.99
1.1,4.00
1.2,4.00
1.3,4.00
1.4,4.00
1.5,4.00
1.6,4.01
1.7,4.01
1.8,4.01
1.9,4.01
2.0,4.01
2.1,4.01
2.2,4.01
2.3,4.01
2.4,4.01
2.5,4.01
2.6,4.01
2.7,4.01
2.8,4.01
2.9,4.01
3.0,4.01
3.1,4.01
3.2,4.01
3.3,4.01
3.4,4.01
3.5,4.01
3.6,4.01
3.7,4.01
3.8,4.01
3.9,4.01
4.0,4.01
4.1,4.01
4.2,4.01
4.3,4.01
4.4,4.01
4.5,4.01
4.6,4.01
4.7,4.01
4.8,4.01
4.9,4.01
5.0,4.01
5.1,4.01
5.2,4.01
5.3,4.01
5.4,4.01
5.5,4.01
5.6,4.01
5.7,4.01
5.8,4.01
5.9,4.01
6.0,4.01
6.1,4.01
6.2,4.01
6.3,4.01
6.4,4.01
6.5,4.01
6.6,4.01
6.7,4.01
6.8,4.01
6.9,4.01
7.0,4.01
7.1,4.01
7.2,4.01
7.3,4.01
7.4,4.01
7.5,4.01
7.6,4.01
7.7,4.01
7.8,4.01
7.9,4.01
8.0,4.01
8.1,4.01
8.2,4.01
8.3,4.01
8.4,4.01
8.5,4.01
8.6,4.01
8.7,4.00
8.8,4.00
8.9,4.00
9.0,4.00
9.1,4.00
9.2,3.99
9.3,3.99
9.4,3.99
9.5,3.98
9.6,3.97
9.7,3.96
9.8,3.95
9.9,3.94
10.0,3.92
10.1,3.91
10.2,3.88
10.3,3.86
10.4,3.83
10.5,3.79
10.6,3.76
10.7,3.71
10.8,3.67
10.9,3.62
11.0,3.57
11.1,3.52
11.2,3.48
11.3,3.43
11.4,3.38
11.5,3.34
11.6,3.30
11.7,3.26
11.8,3.23
11.9,3.20
12.0,3.18
12.1,3.16
12.2,3.14
12.3,3.13
12.4,3.12
12.5,3.11
12.6,3.10
12.7,3.09
12.8,3.09
12.9,3.08
13.0,3.08
13.1,3.08
13.2,3.07
13.3,3.07
13.4,3.07
13.5,3.07
13.6,3.07
13.7,3.07
13.8,3.07
13.9,3.07
14.0,3.07
