pH,logD
0.0,2.92
0.1,2.92
0.2,2.92
0.3,2.92
0.4,2.92
0.5,2.92
0.6,2.92
0.7,2.92
0.8,2.92
0.9,2.92
1.0,2.92
1.1,2.92
1.2,2.92
1.3,2.92
1.4,2.92
1.5,2.92
1.6,2.92
1.7,2.92
1.8,2.92
1.9,2.92
2.0,2.92
2.1,2.92
2.2,2.92
2.3,2.92
2.4,2.92
2.5,2.92
2.6,2.92
2.7,2.92
2.8,2.92
2.9,2.92
3.0,2.92
3.1,2.92
3.2,2.92
3.3,2.92
3.4,2.92
3.5,2.92
3.6,2.92
3.7,2.92
3.8,2.92
3.9,2.92
4.0,2.92
4.1,2.92
4.2,2.92
4.3,2.92
4.4,2.92
4.5,2.92
4.6,2.92
4.7,2.92
4.8,2.92
4.9,2.92
5.0,2.92
5.1,2.92
5.2,2.92
5.3,2.92
5.4,2.92
5.5,2.92
5.6,2.92
5.7,2.92
5.8,2.92
5.9,2.92
6.0,2.92
6.1,2.92
6.2,2.92
6.3,2.92
6.4,2.92
6.5,2.92
6.6,2.92
6.7,2.92
6.8,2.92
6.9,2.92
7.0,2.92
7.1,2.92
7.2,2.92
7.3,2.92
7.4,2.92
7.5,2.92
7.6,2.92
7.7,2.92
7.8,2.92
7.9,2.92
8.0,2.92
8.1,2.92
8.2,2.92
8.3,2.92
8.4,2.92
8.5,2.92
8.6,2.92
8.7,2.92
8.8,2.92
8.9,2.92
9.0,2.92
9.1,2.92
9.2,2.92
9.3,2.92
9.4,2.92
9.5,2.92
9.6,2.91
9.7,2.91
9.8,2.91
9.9,2.91
10.0,2.91
10.1,2.91
10.2,2.91
10.3,2.91
10.4,2.90
10.5,2.90
10.6,2.90
10.7,2.89
10.8,2.88
10.9,2.88
11.0,2.86
11.1,2.85
11.2,2.84
11.3,2.82
11.4,2.79
11.5,2.76
11.6,2.73
11.7,2.69
11.8,2.64
11.9,2.58
12.0,2.52
12.1,2.44
12.2,2.35
12.3,2.25
12.4,2.14
12.5,2.02
12.6,1.88
12.7,1.73
12.8,1.57
12.9,1.39
13.0,1.20
13.1,0.99
13.2,0.77
13.3,0.54
13.4,0.29
13.5,0.03
13.6,-0.25
13.7,-0.54
13.8,-0.84
13.9,-1.14
14.0,-1.46
