pH,logD
0.0,3.12
0.1,3.12
0.2,3.12
0.3,3.12
0.4,3.12
0.5,3.12
0.6,3.12
0.7,3.12
0.8,3.12
0.9,3.12
1.0,3.12
1.1,3.12
1.2,3.12
1.3,3.12
1.4,3.12
1.5,3.12
1.6,3.12
1.7,3.12
1.8,3.12
1.9,3.12
2.0,3.12
2.1,3.12
2.2,3.12
2.3,3.12
2.4,3.12
2.5,3.11
2.6,3.11
2.7,3.11
2.8,3.11
2.9,3.11
3.0,3.10
3.1,3.10
3.2,3.09
3.3,3.09
3.4,3.08
3.5,3.07
3.6,3.05
3.7,3.04
3.8,3.02
3.9,3.00
4.0,2.97
4.1,2.94
4.2,2.91
4.3,2.87
4.4,2.83
4.5,2.79
4.6,2.74
4.7,2.69
4.8,2.64
4.9,2.60
5.0,2.55
5.1,2.50
5.2,2.46
5.3,2.42
5.4,2.38
5.5,2.35
5.6,2.32
5.7,2.30
5.8,2.27
5.9,2.26
6.0,2.24
6.1,2.23
6.2,2.22
6.3,2.21
6.4,2.20
6.5,2.20
6.6,2.19
6.7,2.19
6.8,2.19
6.9,2.19
7.0,2.18
7.1,2.18
7.2,2.18
7.3,2.18
7.4,2.18
7.5,2.18
7.6,2.18
7.7,2.18
7.8,2.18
7.9,2.18
8.0,2.18
8.1,2.18
8.2,2.18
8.3,2.18
8.4,2.18
8.5,2.18
8.6,2.18
8.7,2.18
8.8,2.18
8.9,2.18
9.0,2.18
9.1,2.18
9.2,2.18
9.3,2.18
9.4,2.18
9.5,2.18
9.6,2.18
9.7,2.18
9.8,2.18
9.9,2.18
10.0,2.18
10.1,2.18
10.2,2.18
10.3,2.18
10.4,2.18
10.5,2.18
10.6,2.18
10.7,2.18
10.8,2.18
10.9,2.18
11.0,2.18
11.1,2.18
11.2,2.18
11.3,2.18
11.4,2.17
11.5,2.17
11.6,2.17
11.7,2.17
11.8,2.17
11.9,2.17
12.0,2.17
12.1,2.16
12.2,2.16
12.3,2.15
12.4,2.15
12.5,2.14
12.6,2.13
12.7,2.12
12.8,2.10
12.9,2.09
13.0,2.06
13.1,2.04
13.2,2.01
13.3,1.97
13.4,1.93
13.5,1.88
13.6,1.82
13.7,1.76
13.8,1.68
13.9,1.60
14.0,1.51
