pH,logD
0.0,3.77
0.1,3.78
0.2,3.78
0.3,3.78
0.4,3.78
0.5,3.79
0.6,3.79
0.7,3.79
0.8,3.79
0.9,3.79
1.0,3.79
1.1,3.79
1.2,3.79
1.3,3.79
1.4,3.79
1.5,3.79
1.6,3.79
1.7,3.79
1.8,3.79
1.9,3.79
2.0,3.79
2.1,3.79
2.2,3.79
2.3,3.79
2.4,3.79
2.5,3.79
2.6,3.78
2.7,3.78
2.8,3.78
2.9,3.78
3.0,3.77
3.1,3.77
3.2,3.76
3.3,3.76
3.4,3.75
3.5,3.74
3.6,3.72
3.7,3.71
3.8,3.69
3.9,3.67
4.0,3.64
4.1,3.62
4.2,3.58
4.3,3.54
4.4,3.50
4.5,3.46
4.6,3.41
4.7,3.36
4.8,3.32
4.9,3.27
5.0,3.22
5.1,3.17
5.2,3.13
5.3,3.09
5.4,3.05
5.5,3.02
5.6,2.99
5.7,2.97
5.8,2.94
5.9,2.93
6.0,2.91
6.1,2.90
6.2,2.89
6.3,2.88
6.4,2.88
6.5,2.87
6.6,2.87
6.7,2.86
6.8,2.86
6.9,2.86
7.0,2.86
7.1,2.85
7.2,2.85
7.3,2.85
7.4,2.85
7.5,2.85
7.6,2.85
7.7,2.85
7.8,2.85
7.9,2.85
8.0,2.85
8.1,2.85
8.2,2.85
8.3,2.85
8.4,2.85
8.5,2.85
8.6,2.85
8.7,2.85
8.8,2.85
8.9,2.85
9.0,2.85
9.1,2.85
9.2,2.85
9.3,2.85
9.4,2.85
9.5,2.85
9.6,2.85
9.7,2.85
9.8,2.85
9.9,2.85
10.0,2.85
10.1,2.85
10.2,2.85
10.3,2.85
10.4,2.85
10.5,2.85
10.6,2.85
10.7,2.85
10.8,2.85
10.9,2.85
11.0,2.85
11.1,2.85
11.2,2.85
11.3,2.85
11.4,2.85
11.5,2.85
11.6,2.85
11.7,2.84
11.8,2.84
11.9,2.84
12.0,2.84
12.1,2.84
12.2,2.84
12.3,2.83
12.4,2.83
12.5,2.83
12.6,2.82
12.7,2.81
12.8,2.80
12.9,2.79
13.0,2.78
13.1,2.77
13.2,2.75
13.3,2.73
13.4,2.70
13.5,2.67
13.6,2.64
13.7,2.60
13.8,2.56
13.9,2.52
14.0,2.47
