pH,logD
0.0,0.23
0.1,0.23
0.2,0.23
0.3,0.23
0.4,0.23
0.5,0.23
0.6,0.23
0.7,0.23
0.8,0.23
0.9,0.23
1.0,0.23
1.1,0.23
1.2,0.23
1.3,0.23
1.4,0.23
1.5,0.23
1.6,0.23
1.7,0.23
1.8,0.24
1.9,0.24
2.0,0.24
2.1,0.24
2.2,0.25
2.3,0.25
2.4,0.26
2.5,0.26
2.6,0.27
2.7,0.28
2.8,0.30
2.9,0.31
3.0,0.33
3.1,0.36
3.2,0.38
3.3,0.42
3.4,0.46
3.5,0.50
3.6,0.55
3.7,0.60
3.8,0.66
3.9,0.73
4.0,0.80
4.1,0.87
4.2,0.95
4.3,1.04
4.4,1.12
4.5,1.21
4.6,1.30
4.7,1.39
4.8,1.49
4.9,1.58
5.0,1.68
5.1,1.77
5.2,1.87
5.3,1.96
5.4,2.06
5.5,2.16
5.6,2.25
5.7,2.35
5.8,2.44
5.9,2.54
6.0,2.63
6.1,2.72
6.2,2.81
6.3,2.89
6.4,2.98
6.5,3.06
6.6,3.13
6.7,3.20
6.8,3.27
6.9,3.33
7.0,3.38
7.1,3.43
7.2,3.47
7.3,3.50
7.4,3.53
7.5,3.55
7.6,3.57
7.7,3.58
7.8,3.58
7.9,3.57
8.0,3.56
8.1,3.54
8.2,3.52
8.3,3.49
8.4,3.45
8.5,3.41
8.6,3.35
8.7,3.29
8.8,3.23
8.9,3.15
9.0,3.08
9.1,2.99
9.2,2.90
9.3,2.80
9.4,2.70
9.5,2.59
9.6,2.48
9.7,2.36
9.8,2.24
9.9,2.12
10.0,1.99
10.1,1.86
10.2,1.72
10.3,1.59
10.4,1.45
10.5,1.32
10.6,1.19
10.7,1.06
10.8,0.93
10.9,0.81
11.0,0.69
11.1,0.57
11.2,0.47
11.3,0.36
11.4,0.26
11.5,0.17
11.6,0.08
11.7,-0.01
11.8,-0.08
11.9,-0.16
12.0,-0.22
12.1,-0.28
12.2,-0.34
12.3,-0.39
12.4,-0.44
12.5,-0.48
12.6,-0.52
12.7,-0.55
12.8,-0.59
12.9,-0.62
13.0,-0.66
13.1,-0.69
13.2,-0.73
13.3,-0.77
13.4,-0.81
13.5,-0.85
13.6,-0.90
13.7,-0.95
13.8,-1.00
13.9,-1.05
14.0,-1.10
