pH,logD
0.0,10.57
0.1,10.57
0.2,10.57
0.3,10.57
0.4,10.57
0.5,10.57
0.6,10.57
0.7,10.57
0.8,10.57
0.9,10.57
1.0,10.57
1.1,10.57
1.2,10.57
1.3,10.57
1.4,10.57
1.5,10.57
1.6,10.57
1.7,10.57
1.8,10.57
1.9,10.57
2.0,10.57
2.1,10.57
2.2,10.57
2.3,10.57
2.4,10.57
2.5,10.57
2.6,10.57
2.7,10.57
2.8,10.57
2.9,10.57
3.0,10.57
3.1,10.57
3.2,10.57
3.3,10.57
3.4,10.57
3.5,10.57
3.6,10.57
3.7,10.57
3.8,10.57
3.9,10.57
4.0,10.57
4.1,10.57
4.2,10.57
4.3,10.57
4.4,10.57
4.5,10.57
4.6,10.57
4.7,10.57
4.8,10.57
4.9,10.57
5.0,10.57
5.1,10.57
5.2,10.57
5.3,10.57
5.4,10.57
5.5,10.57
5.6,10.57
5.7,10.57
5.8,10.57
5.9,10.57
6.0,10.57
6.1,10.57
6.2,10.57
6.3,10.57
6.4,10.57
6.5,10.57
6.6,10.57
6.7,10.57
6.8,10.57
6.9,10.57
7.0,10.57
7.1,10.57
7.2,10.57
7.3,10.57
7.4,10.57
7.5,10.57
7.6,10.57
7.7,10.57
7.8,10.57
7.9,10.57
8.0,10.57
8.1,10.57
8.2,10.57
8.3,10.57
8.4,10.56
8.5,10.56
8.6,10.56
8.7,10.56
8.8,10.56
8.9,10.55
9.0,10.55
9.1,10.54
9.2,10.54
9.3,10.53
9.4,10.52
9.5,10.50
9.6,10.49
9.7,10.47
9.8,10.44
9.9,10.41
10.0,10.37
10.1,10.33
10.2,10.28
10.3,10.21
10.4,10.14
10.5,10.06
10.6,9.96
10.7,9.86
10.8,9.74
10.9,9.62
11.0,9.48
11.1,9.33
11.2,9.18
11.3,9.02
11.4,8.86
11.5,8.69
11.6,8.52
11.7,8.35
11.8,8.18
11.9,8.01
12.0,7.84
12.1,7.67
12.2,7.51
12.3,7.36
12.4,7.21
12.5,7.07
12.6,6.94
12.7,6.82
12.8,6.71
12.9,6.61
13.0,6.52
13.1,6.45
13.2,6.38
13.3,6.33
13.4,6.28
13.5,6.24
13.6,6.21
13.7,6.18
13.8,6.16
13.9,6.14
14.0,6.13
