pH,logD
0.0,3.13
0.1,3.16
0.2,3.18
0.3,3.21
0.4,3.25
0.5,3.29
0.6,3.33
0.7,3.38
0.8,3.44
0.9,3.50
1.0,3.56
1.1,3.63
1.2,3.69
1.3,3.76
1.4,3.83
1.5,3.90
1.6,3.96
1.7,4.03
1.8,4.08
1.9,4.14
2.0,4.19
2.1,4.23
2.2,4.27
2.3,4.31
2.4,4.34
2.5,4.37
2.6,4.39
2.7,4.41
2.8,4.42
2.9,4.43
3.0,4.44
3.1,4.45
3.2,4.46
3.3,4.46
3.4,4.47
3.5,4.47
3.6,4.48
3.7,4.48
3.8,4.48
3.9,4.48
4.0,4.48
4.1,4.48
4.2,4.48
4.3,4.48
4.4,4.48
4.5,4.48
4.6,4.48
4.7,4.49
4.8,4.49
4.9,4.49
5.0,4.49
5.1,4.49
5.2,4.49
5.3,4.49
5.4,4.49
5.5,4.49
5.6,4.49
5.7,4.49
5.8,4.49
5.9,4.49
6.0,4.49
6.1,4.49
6.2,4.49
6.3,4.49
6.4,4.49
6.5,4.49
6.6,4.49
6.7,4.49
6.8,4.49
6.9,4.49
7.0,4.49
7.1,4.49
7.2,4.49
7.3,4.49
7.4,4.49
7.5,4.49
7.6,4.49
7.7,4.49
7.8,4.49
7.9,4.49
8.0,4.48
8.1,4.48
8.2,4.48
8.3,4.48
8.4,4.48
8.5,4.48
8.6,4.48
8.7,4.48
8.8,4.48
8.9,4.48
9.0,4.47
9.1,4.47
9.2,4.47
9.3,4.46
9.4,4.46
9.5,4.45
9.6,4.44
9.7,4.43
9.8,4.41
9.9,4.40
10.0,4.38
10.1,4.35
10.2,4.33
10.3,4.29
10.4,4.26
10.5,4.21
10.6,4.17
10.7,4.12
10.8,4.06
10.9,4.00
11.0,3.94
11.1,3.88
11.2,3.81
11.3,3.75
11.4,3.69
11.5,3.63
11.6,3.57
11.7,3.52
11.8,3.47
11.9,3.43
12.0,3.39
12.1,3.35
12.2,3.32
12.3,3.29
12.4,3.27
12.5,3.25
12.6,3.23
12.7,3.22
12.8,3.20
12.9,3.19
13.0,3.17
13.1,3.16
13.2,3.14
13.3,3.13
13.4,3.11
13.5,3.09
13.6,3.06
13.7,3.04
13.8,3.00
13.9,2.97
14.0,2.93
