pH,logD
0.0,6.20
0.1,6.21
0.2,6.22
0.3,6.23
0.4,6.24
0.5,6.24
0.6,6.25
0.7,6.25
0.8,6.25
0.9,6.26
1.0,6.26
1.1,6.26
1.2,6.26
1.3,6.26
1.4,6.26
1.5,6.26
1.6,6.26
1.7,6.26
1.8,6.26
1.9,6.26
2.0,6.26
2.1,6.26
2.2,6.26
2.3,6.26
2.4,6.26
2.5,6.26
2.6,6.26
2.7,6.26
2.8,6.26
2.9,6.26
3.0,6.26
3.1,6.26
3.2,6.26
3.3,6.26
3.4,6.26
3.5,6.26
3.6,6.26
3.7,6.26
3.8,6.26
3.9,6.26
4.0,6.26
4.1,6.26
4.2,6.26
4.3,6.26
4.4,6.26
4.5,6.26
4.6,6.26
4.7,6.26
4.8,6.26
4.9,6.26
5.0,6.26
5.1,6.26
5.2,6.26
5.3,6.26
5.4,6.26
5.5,6.26
5.6,6.26
5.7,6.26
5.8,6.26
5.9,6.26
6.0,6.26
6.1,6.26
6.2,6.26
6.3,6.26
6.4,6.26
6.5,6.26
6.6,6.26
6.7,6.26
6.8,6.26
6.9,6.26
7.0,6.26
7.1,6.26
7.2,6.26
7.3,6.26
7.4,6.26
7.5,6.26
7.6,6.26
7.7,6.26
7.8,6.26
7.9,6.26
8.0,6.26
8.1,6.26
8.2,6.26
8.3,6.26
8.4,6.26
8.5,6.26
8.6,6.26
8.7,6.26
8.8,6.26
8.9,6.26
9.0,6.25
9.1,6.25
9.2,6.25
9.3,6.25
9.4,6.24
9.5,6.24
9.6,6.23
9.7,6.22
9.8,6.21
9.9,6.20
10.0,6.18
10.1,6.16
10.2,6.14
10.3,6.11
10.4,6.07
10.5,6.03
10.6,5.99
10.7,5.94
10.8,5.88
10.9,5.81
11.0,5.74
11.1,5.66
11.2,5.58
11.3,5.48
11.4,5.39
11.5,5.29
11.6,5.19
11.7,5.08
11.8,4.97
11.9,4.87
12.0,4.76
12.1,4.66
12.2,4.56
12.3,4.46
12.4,4.37
12.5,4.28
12.6,4.20
12.7,4.13
12.8,4.06
12.9,4.00
13.0,3.95
13.1,3.90
13.2,3.86
13.3,3.82
13.4,3.79
13.5,3.77
13.6,3.75
13.7,3.73
13.8,3.72
13.9,3.71
14.0,3.70
