pH,logD
0.0,3.18
0.1,3.18
0.2,3.18
0.3,3.18
0.4,3.18
0.5,3.18
0.6,3.18
0.7,3.18
0.8,3.18
0.9,3.18
1.0,3.18
1.1,3.18
1.2,3.18
1.3,3.18
1.4,3.18
1.5,3.18
1.6,3.18
1.7,3.18
1.8,3.18
1.9,3.18
2.0,3.18
2.1,3.18
2.2,3.18
2.3,3.18
2.4,3.18
2.5,3.18
2.6,3.18
2.7,3.18
2.8,3.18
2.9,3.18
3.0,3.18
3.1,3.18
3.2,3.18
3.3,3.18
3.4,3.18
3.5,3.18
3.6,3.18
3.7,3.18
3.8,3.18
3.9,3.18
4.0,3.18
4.1,3.18
4.2,3.18
4.3,3.18
4.4,3.18
4.5,3.18
4.6,3.18
4.7,3.18
4.8,3.18
4.9,3.18
5.0,3.18
5.1,3.18
5.2,3.18
5.3,3.18
5.4,3.18
5.5,3.18
5.6,3.18
5.7,3.18
5.8,3.18
5.9,3.18
6.0,3.18
6.1,3.18
6.2,3.18
6.3,3.18
6.4,3.18
6.5,3.18
6.6,3.18
6.7,3.18
6.8,3.18
6.9,3.18
7.0,3.18
7.1,3.18
7.2,3.18
7.3,3.18
7.4,3.18
7.5,3.18
7.6,3.18
7.7,3.18
7.8,3.18
7.9,3.18
8.0,3.18
8.1,3.18
8.2,3.18
8.3,3.18
8.4,3.18
8.5,3.18
8.6,3.18
8.7,3.18
8.8,3.18
8.9,3.18
9.0,3.18
9.1,3.18
9.2,3.18
9.3,3.18
9.4,3.18
9.5,3.18
9.6,3.18
9.7,3.18
9.8,3.18
9.9,3.18
10.0,3.18
10.1,3.18
10.2,3.18
10.3,3.18
10.4,3.18
10.5,3.18
10.6,3.18
10.7,3.18
10.8,3.18
10.9,3.17
11.0,3.17
11.1,3.17
11.2,3.17
11.3,3.16
11.4,3.16
11.5,3.15
11.6,3.14
11.7,3.13
11.8,3.12
11.9,3.11
12.0,3.09
12.1,3.07
12.2,3.04
12.3,3.01
12.4,2.98
12.5,2.94
12.6,2.89
12.7,2.84
12.8,2.79
12.9,2.73
13.0,2.66
13.1,2.59
13.2,2.52
13.3,2.44
13.4,2.36
13.5,2.28
13.6,2.20
13.7,2.11
13.8,2.03
13.9,1.94
14.0,1.86
