pH,logD
0.0,3.54
0.1,3.54
0.2,3.55
0.3,3.55
0.4,3.56
0.5,3.57
0.6,3.58
0.7,3.59
0.8,3.61
0.9,3.63
1.0,3.65
1.1,3.68
1.2,3.71
1.3,3.75
1.4,3.80
1.5,3.85
1.6,3.92
1.7,3.99
1.8,4.07
1.9,4.16
2.0,4.26
2.1,4.36
2.2,4.47
2.3,4.59
2.4,4.71
2.5,4.83
2.6,4.96
2.7,5.08
2.8,5.20
2.9,5.32
3.0,5.44
3.1,5.55
3.2,5.66
3.3,5.76
3.4,5.86
3.5,5.96
3.6,6.05
3.7,6.13
3.8,6.21
3.9,6.28
4.0,6.35
4.1,6.41
4.2,6.46
4.3,6.51
4.4,6.55
4.5,6.59
4.6,6.62
4.7,6.64
4.8,6.67
4.9,6.68
5.0,6.70
5.1,6.71
5.2,6.72
5.3,6.73
5.4,6.74
5.5,6.74
5.6,6.75
5.7,6.75
5.8,6.76
5.9,6.76
6.0,6.76
6.1,6.77
6.2,6.77
6.3,6.77
6.4,6.78
6.5,6.78
6.6,6.79
6.7,6.79
6.8,6.80
6.9,6.81
7.0,6.82
7.1,6.83
7.2,6.85
7.3,6.87
7.4,6.88
7.5,6.91
7.6,6.93
7.7,6.95
7.8,6.97
7.9,6.99
8.0,7.02
8.1,7.04
8.2,7.05
8.3,7.07
8.4,7.09
8.5,7.10
8.6,7.11
8.7,7.12
8.8,7.13
8.9,7.13
9.0,7.14
9.1,7.14
9.2,7.15
9.3,7.15
9.4,7.15
9.5,7.15
9.6,7.16
9.7,7.16
9.8,7.16
9.9,7.16
10.0,7.16
10.1,7.16
10.2,7.16
10.3,7.16
10.4,7.16
10.5,7.16
10.6,7.16
10.7,7.16
10.8,7.16
10.9,7.16
11.0,7.16
11.1,7.16
11.2,7.16
11.3,7.16
11.4,7.16
11.5,7.16
11.6,7.16
11.7,7.16
11.8,7.15
11.9,7.15
12.0,7.15
12.1,7.15
12.2,7.14
12.3,7.14
12.4,7.13
12.5,7.13
12.6,7.12
12.7,7.11
12.8,7.10
12.9,7.08
13.0,7.06
13.1,7.04
13.2,7.02
13.3,6.99
13.4,6.95
13.5,6.91
13.6,6.87
13.7,6.82
13.8,6.76
13.9,6.71
14.0,6.64
